,kernel,bsz,sq,sk,hq,hk,hm,hdim,sparsity,seed,dataname,time(ms)
65,math_attention,8,8192,8192,32,32,1,128,60,68,srowsQ2A8K.npz,nan
66,attentionmask,8,16384,16384,32,32,1,128,60,68,srowsQ2A16K.npz,973.3087539672852
67,math_attention,8,16384,16384,32,32,1,128,60,68,srowsQ2A16K.npz,nan
68,attentionmask,8,32768,32768,32,32,1,128,60,68,srowsQ2A32K.npz,3878.6203212738037
69,math_attention,8,32768,32768,32,32,1,128,60,68,srowsQ2A32K.npz,nan
70,attentionmask,8,65536,65536,32,32,1,128,60,68,srowsQ2A64K.npz,nan
71,math_attention,8,65536,65536,32,32,1,128,60,68,srowsQ2A64K.npz,nan
72,sparsemask,8,16384,16384,32,32,1,128,10,68,srowsQ6A16K.npz,270.90186834335327
73,sparsemask,8,32768,32768,32,32,1,128,10,68,srowsQ6A32K.npz,1058.6543226242065
74,sparsemask,8,65536,65536,32,32,1,128,10,68,srowsQ6A64K.npz,4158.438471158345
75,sparsemask,8,131072,131072,32,32,1,128,10,68,srowsQ6A128K.npz,nan
76,sparsemask,8,2048,2048,32,32,1,128,20,68,srowsQ6A2K.npz,7.1022772789001465
77,sparsemask,8,4096,4096,32,32,1,128,20,68,srowsQ6A4K.npz,19.6419495344162
78,sparsemask,8,8192,8192,32,32,1,128,20,68,srowsQ6A8K.npz,68.39009761810303
79,sparsemask,8,16384,16384,32,32,1,128,20,68,srowsQ6A16K.npz,253.14261913299563
80,sparsemask,8,32768,32768,32,32,1,128,20,68,srowsQ6A32K.npz,1012.3725247383118
81,sparsemask,8,65536,65536,32,32,1,128,20,68,srowsQ6A64K.npz,3881.7653369903564
82,sparsemask,8,131072,131072,32,32,1,128,20,68,srowsQ6A128K.npz,nan
83,sparsemask,8,2048,2048,32,32,1,128,30,68,srowsQ6A2K.npz,5.555630922317505
84,sparsemask,8,4096,4096,32,32,1,128,30,68,srowsQ6A4K.npz,17.69146998723348
85,sparsemask,8,8192,8192,32,32,1,128,30,68,srowsQ6A8K.npz,59.355201721191406
86,sparsemask,8,16384,16384,32,32,1,128,30,68,srowsQ6A16K.npz,220.098557472229
87,sparsemask,8,32768,32768,32,32,1,128,30,68,srowsQ6A32K.npz,859.8462772369385
88,sparsemask,8,65536,65536,32,32,1,128,30,68,srowsQ6A64K.npz,3123.4112119674683
89,sparsemask,8,131072,131072,32,32,1,128,30,68,srowsQ6A128K.npz,nan
90,sparsemask,8,2048,2048,32,32,1,128,40,68,srowsQ6A2K.npz,5.050244331359864
91,sparsemask,8,4096,4096,32,32,1,128,40,68,srowsQ6A4K.npz,15.805505514144897
92,sparsemask,8,8192,8192,32,32,1,128,40,68,srowsQ6A8K.npz,53.916618029276535
93,sparsemask,8,16384,16384,32,32,1,128,40,68,srowsQ6A16K.npz,193.19664478302002
94,sparsemask,8,32768,32768,32,32,1,128,40,68,srowsQ6A32K.npz,712.259111404419
95,sparsemask,8,65536,65536,32,32,1,128,40,68,srowsQ6A64K.npz,2768.9151215553284
96,sparsemask,8,32768,32768,32,32,1,128,60,68,srowsQ2A32K.npz,471.08342266082764
97,sparsemask,8,65536,65536,32,32,1,128,60,68,srowsQ2A64K.npz,1787.565450668335
98,sparsemask,8,131072,131072,32,32,1,128,60,68,srowsQ2A128K.npz,nan
99,sparsemask,8,2048,2048,32,32,1,128,70,68,srowsQ2A2K.npz,3.771704037984212
100,sparsemask,8,4096,4096,32,32,1,128,70,68,srowsQ2A4K.npz,10.04625252314976
101,sparsemask,8,8192,8192,32,32,1,128,70,68,srowsQ2A8K.npz,30.184559292263454
102,sparsemask,8,16384,16384,32,32,1,128,70,68,srowsQ2A16K.npz,98.33741605281828
103,sparsemask,8,32768,32768,32,32,1,128,70,68,srowsQ2A32K.npz,355.5526214175754
104,sparsemask,8,65536,65536,32,32,1,128,70,68,srowsQ2A64K.npz,1294.919216632843
105,sparsemask,8,131072,131072,32,32,1,128,70,68,srowsQ2A128K.npz,nan
106,sparsemask,8,2048,2048,32,32,1,128,80,68,srowsQ2A2K.npz,3.273584047953288
107,sparsemask,8,4096,4096,32,32,1,128,80,68,srowsQ2A4K.npz,8.109789328141646
108,sparsemask,8,8192,8192,32,32,1,128,80,68,srowsQ2A8K.npz,23.30969863467746
109,sparsemask,8,16384,16384,32,32,1,128,80,68,srowsQ2A16K.npz,75.70993900299072
110,sparsemask,8,32768,32768,32,32,1,128,80,68,srowsQ2A32K.npz,261.78672790527344
111,sparsemask,8,65536,65536,32,32,1,128,80,68,srowsQ2A64K.npz,910.5538511276244
112,sparsemask,8,131072,131072,32,32,1,128,80,68,srowsQ2A128K.npz,nan
113,sparsemask,8,2048,2048,32,32,1,128,90,68,srowsQ2A2K.npz,3.1271791458129883
114,sparsemask,8,4096,4096,32,32,1,128,30,68,srowsQ2A4K.npz,17.609663009643555
115,sparsemask,8,8192,8192,32,32,1,128,30,68,srowsQ2A8K.npz,60.66089153289795
116,sparsemask,8,16384,16384,32,32,1,128,30,68,srowsQ2A16K.npz,211.57698154449463
117,sparsemask,8,32768,32768,32,32,1,128,30,68,srowsQ2A32K.npz,867.939169406891
118,sparsemask,8,65536,65536,32,32,1,128,30,68,srowsQ2A64K.npz,3431.5265607833862
119,sparsemask,8,131072,131072,32,32,1,128,30,68,srowsQ2A128K.npz,nan
120,sparsemask,8,2048,2048,32,32,1,128,40,68,srowsQ2A2K.npz,5.291416645050048
